n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,root_is_leader,filename
20,3,1,1,0,0.25,0.8944271909999159,1.0986122886681098,0.5889408467200925,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration0
20,3,1,1,1,0.25,0.8944271909999159,1.0986122886681098,0.6022110064313637,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration1
20,3,1,1,2,0.25,0.8944271909999159,1.0986122886681098,0.5959209694013201,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration2
20,3,1,1,3,0.25,0.8944271909999159,1.0986122886681098,0.5967831007644507,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration3
20,3,1,1,4,0.25,0.8944271909999159,1.0986122886681098,0.6010306475074016,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration4
20,3,1,1,5,0.25,0.8944271909999159,1.0986122886681098,0.5917836685693862,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration5
20,3,1,1,6,0.25,0.8944271909999159,1.0986122886681098,0.6048534028533337,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration6
20,3,1,1,7,0.25,0.8944271909999159,1.0986122886681098,0.5938068287904591,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration7
20,3,1,1,8,0.25,0.8944271909999159,1.0986122886681098,0.6035209498066204,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration8
20,3,1,1,9,0.25,0.8944271909999159,1.0986122886681098,0.5979610548550351,False,prices_model_n20_m3_k01_initial_nodes1_p0.25_iteration9
20,3,1,1,0,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5952795159970177,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration0
20,3,1,1,1,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5957695420691476,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration1
